,S1_molecule,S2_molecule,T0_mod_protein_molecule,T0_plasmid_molecule,T0_protein_molecule,T1_mod_protein_molecule,T1_plasmid_molecule,T1_protein_molecule,T2_mod_protein_molecule,T2_plasmid_molecule,T2_protein_molecule,T3_mod_protein_molecule,T3_plasmid_molecule,T3_protein_molecule,T4_mod_protein_molecule,T4_plasmid_molecule,T4_plasmid_strand_molecule,T4_protein_molecule,T5_mod_protein_molecule,T5_plasmid_molecule,T5_plasmid_strand_molecule,T5_protein_molecule,T6_mod_protein_molecule,T6_plasmid_molecule,T6_plasmid_strand_molecule,T6_protein_molecule
34,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
35,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
36,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
37,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
38,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
39,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
40,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
41,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
42,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
43,{},{},{dot: 1},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
44,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
45,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
46,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
47,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
48,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
49,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
50,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
51,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
52,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
53,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
54,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
55,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
56,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
57,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
58,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
59,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
60,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
61,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
62,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
63,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
64,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
65,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
66,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
67,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
68,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
69,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
70,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
71,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
72,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
73,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
74,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
75,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
76,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
77,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
78,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
79,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
80,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
81,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
82,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
83,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
84,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
85,{},{},{},{dot: 1},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
86,{},{},{},{dot: 1},{},{dot: 2},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
87,{},{},{},{dot: 1},{},{dot: 2},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
88,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
89,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
90,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
91,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
92,{},{},{dot: 2},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
93,{},{},{dot: 2},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
94,{},{},{dot: 2},{dot: 1},{dot: 2},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
95,{},{},{dot: 2},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
96,{},{},{dot: 2},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
97,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
98,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
99,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
100,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
101,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{},{},{},{}
102,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{},{dot: 1},{},{},{},{},{},{},{},{},{}
103,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
104,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
105,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
106,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
107,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
108,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
109,{},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
110,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
111,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
112,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
113,{},{},{},{dot: 1},{dot: 2},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
114,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
115,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
116,{},{},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
117,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
118,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
119,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
120,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
121,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
122,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
123,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
124,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
125,{},{},{dot: 2},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
126,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
127,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
128,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 2},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
129,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
130,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
131,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
132,{},{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
133,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
134,{},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
135,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
136,{},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
137,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
138,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
139,{},{},{dot: 2},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
140,{},{},{dot: 2},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
141,{},{},{dot: 2},{dot: 1},{dot: 2},{dot: 1},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
142,{},{},{dot: 2},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
143,{},{},{dot: 2},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
144,{},{},{dot: 3},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
145,{},{},{dot: 2},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
146,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
147,{},{},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
148,{},{},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
149,{},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
150,{},{},{},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
151,{},{},{dot: 1},{dot: 1},{dot: 2},{},{dot: 1},{dot: 1},{},{dot: 1},{dot: 1},{},{dot: 1},{},{},{dot: 1},{},{},{},{},{},{},{},{},{},{}
